Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2010","2010","kcal/cap/d","2200.21","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2011","2011","kcal/cap/d","2171.86","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2012","2012","kcal/cap/d","2165.88","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2013","2013","kcal/cap/d","2205.33","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2014","2014","kcal/cap/d","2270.45","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2015","2015","kcal/cap/d","2251.27","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","2240.71","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","2307.21","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","2261.79","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","2223.1","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","2259.95","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2244.73","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2022","2022","kcal/cap/d","2268.63","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2023","2023","kcal/cap/d","2314.63","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2010","2010","kcal/cap/d","1464.44","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2011","2011","kcal/cap/d","1402.32","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2012","2012","kcal/cap/d","1354.8","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2013","2013","kcal/cap/d","1386.99","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2014","2014","kcal/cap/d","1359.69","E","Estimated value",""
